de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA3,2,3,267,"Initiated in 2001, the objective of the MA was to assess the consequences of ecosystem change for human well-being and the scientific basis for actions needed to enhance the conservation and sustainable use of those systems and their contribution to human well-being."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA6,2,6,538,"The MA has involved the work of more than 1,360 experts worldwide. Their findings on the condition and trends of ecosystems, scenarios for the future, possible responses, and assessments at a sub-global level are set out in technical chapters grouped around these four main themes. In addition, a general Synthesis draws on these detailed studies to answer a series of core questions posed at the start of the MA. The practical needs of specific groups of users, including the business community, are addressed in other synthesis reports."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA11,2,11,148,"Each part of the assessment has been scrutinized by governments, independent scientists, and other experts to ensure the robustness of its findings."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA13,2,13,259,"This statement is from the Board governing the MA process, whose membership includes representatives from U.N. organizations, governments through a number of international conventions, nongovernmental organizations, academia, business, and indigenous peoples. (For a full list of Board members, see the inside front cover.)"
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA16,2,16,307,"It is not intended as a comprehensive summary of the findings of the MA, but rather as an interpretation of the key messages to emerge from it. Written for a non-specialist readership, it is nevertheless consistent with the more detailed documents of the assessment and can be read in conjunction with them."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG2.PA19,2,19,201,"We believe that the wide range of global interests combining to issue this statement, together with the rigorous study on which it is based, should add power and urgency to the conclusions it sets out."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG4.PA2,4,2,1964,"Key Messages  Everyone in the world depends on nature and ecosystem services to provide the conditions for a decent, healthy, and secure life.  Humans have made unprecedented changes to ecosystems in recent decades to meet growing demands for food, fresh water, fiber, and energy.  These changes have helped to improve the lives of billions, but at the same time they weakened natures ability to deliver other key services such as purification of air and water, protection from disasters, and the provision of medicines.  Among the outstanding problems identified by this assessment are the dire state of many of the worlds fish stocks; the intense vulnerability of the 2 billion people living in dry regions to the loss of ecosystem services, including water supply; and the growing threat to ecosystems from climate change and nutrient pollution.  Human activities have taken the planet to the edge of a massive wave of species extinctions, further threatening our own well-being.  The loss of services derived from ecosystems is a significant barrier to the achievement of the Millennium Development Goals to reduce poverty, hunger, and disease.  The pressures on ecosystems will increase globally in coming decades unless human attitudes and actions change.  Measures to conserve natural resources are more likely to succeed if local communities are given ownership of them, share the benefits, and are involved in decisions.  Even todays technology and knowledge can reduce considerably the human impact on ecosystems. They are unlikely to be deployed fully, however, until ecosystem services cease to be perceived as free and limitless, and their full value is taken into account.  Better protection of natural assets will require coordinated efforts across all sections of governments, businesses, and international institutions. The productivity of ecosystems depends on policy choices on investment, trade, subsidy, taxation, and regulation, among others."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA4,6,4,117,At the heart of this assessment is a stark warning. Human activity is putting such strain on the natural functions of
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA5,6,5,114,Earth that the ability of the planets ecosystems to sustain future generations can no longer be taken for granted.
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA6,6,6,211,"The provision of food, fresh water, energy, and materials to a growing population has come at considerable cost to the complex systems of plants, animals, and biological processes that make the planet habitable."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA7,6,7,182,"As human demands increase in coming decades, these systems will face even greater pressuresand the risk of further weakening the natural infrastructure on which all societies depend."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA8,6,8,185,Protecting and improving our future well-being requires wiser and less destructive use of natural assets. This in turn involves major changes in the way we make and implement decisions.
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA9,6,9,168,We must learn to recognize the true value of natureboth in an economic sense and in the richness it provides to our lives in ways much more difficult to put numbers on.
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA10,6,10,193,"Above all, protection of these assets can no longer be seen as an optional extra, to be considered once more pressing concerns such as wealth creation or national security have been dealt with."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA12,6,12,230,"Natural provisions In the streets of a crowded city, in the aisles of a giant supermarket, or on the floor of a gleaming electronics factory, the biological state of Earths rivers, forests, and mountains may seem a remote concern."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA13,6,13,180,"Yet despite the breakneck pace of technological change many of us have seen in our lifetimes, we each depend far more than we may realize on the web of life of which we are a part."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA14,6,14,185,"The food and fresh water that keep us alive, the wood that gives us shelter and furniture, even the climate and the air we breathe: all are products of the living systems of the planet."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA15,6,15,324,"As forests and savanna made way for farms, as rivers were diverted to irrigate fields, and as new technology enabled fishing vessels to haul ever-greater harvests from the oceans, the recent changes made to natural systems have helped not just to feed a rapidly growing human population but to improve the lives of billions."
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA16,6,16,241,"In the midst of this unprecedented period of spending Earths natural bounty, however, it is time to check the accounts. That is what this assessment has done, and it is a sobering statement with much more red than black on the balance sheet."
