3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG12.PA5,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG14.PA4,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG20.PA7,8_species_freshwater_endemic_kba,0.5303636139128443,8,0,0.0,species,freshwater,endemic,kba,africa,western,list,red,threatened,river
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG25.PA1,3_water_groundwater_resources_irrigation,0.5870290910744324,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG27.PA8,10_scenarios_decision_policy_scenario,0.7075815504285841,10,0,0.0,scenarios,decision,policy,scenario,models,futures,exploratory,making,archetypes,options
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG29.PA1,3_water_groundwater_resources_irrigation,0.5991554815012359,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG31.PA2,3_water_groundwater_resources_irrigation,0.41986591217474567,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG33.PA1,1_food_diet_healthy_diets,1.0,1,0,0.0,food,diet,healthy,diets,foods,cost,insecurity,nutrition,dietary,income
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG34.PA1,13_forest_forests_wood_timber,0.8981887574352864,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG36.PA2,133_grazing_pasture_livestock_pastoral,1.0,133,0,0.0,grazing,pasture,livestock,pastoral,rangelands,grasslands,rangeland,pastures,land,lands
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG37.PA1,133_grazing_pasture_livestock_pastoral,1.0,133,0,0.0,grazing,pasture,livestock,pastoral,rangelands,grasslands,rangeland,pastures,land,lands
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG39.PA1,6_wind_solar_offshore_impacts,1.0,6,0,0.0,wind,solar,offshore,impacts,turbines,energy,mitigation,project,farm,construction
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG58.PA1,20_agriculture_farming_sustainable_agricultural,0.6331191323132805,20,0,0.0,agriculture,farming,sustainable,agricultural,intensification,practices,farmers,see,food,production
3c1277f45442e17a4b9d85171aa419e48868bdd479e4624d7f68cb20530668c6.PG61.PA5,3_water_groundwater_resources_irrigation,0.5171034213777622,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG12.PA28,2_gender_women_gbv_violence,1.0,2,0,0.0,gender,women,gbv,violence,womens,men,rights,and,equality,their
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG15.PA5,31_disaster_risk_disasters_hazards,0.4460588982374648,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG15.PA10,31_disaster_risk_disasters_hazards,0.42883822121892745,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG15.PA14,31_disaster_risk_disasters_hazards,0.4683505277145969,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG15.PA26,31_disaster_risk_disasters_hazards,0.5107592135467558,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG22.PA27,28_apparel_female_women_careers,1.0,28,0,0.0,apparel,female,women,careers,labor,jobs,occupations,education,industries,workers
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG23.PA12,46_pathways_sustainability_sustainable_goals,0.8764544500350625,46,0,0.0,pathways,sustainability,sustainable,goals,development,transformation,transition,narratives,innovation,economy
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG24.PA2,66_wetlands_wetland_ramsar_water,0.9350085759559125,66,0,0.0,wetlands,wetland,ramsar,water,convention,pollution,loss,wise,freshwater,in
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG24.PA12,49_species_extinction_threatened_red,1.0,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG24.PA37,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG25.PA13,31_disaster_risk_disasters_hazards,0.4618188131175881,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG25.PA31,76_fire_fires_burned_forest,0.7161296957146345,76,0,0.0,fire,fires,burned,forest,wildfires,forests,boreal,burning,regimes,haze
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG26.PA22,31_disaster_risk_disasters_hazards,0.49432635871577624,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG26.PA30,31_disaster_risk_disasters_hazards,0.8592756179272217,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG27.PA5,31_disaster_risk_disasters_hazards,0.7400728943949484,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG27.PA9,31_disaster_risk_disasters_hazards,0.4945429570231189,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG28.PA14,47_supplementary_drought_inconsistent_confidence,0.4250816756927148,47,0,0.0,supplementary,drought,inconsistent,confidence,moisture,material,cdd,spei,drying,chapter
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG29.PA28,76_fire_fires_burned_forest,1.0,76,0,0.0,fire,fires,burned,forest,wildfires,forests,boreal,burning,regimes,haze
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG30.PA7,31_disaster_risk_disasters_hazards,0.49605597345233926,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG30.PA18,31_disaster_risk_disasters_hazards,0.49507884522968937,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG30.PA27,31_disaster_risk_disasters_hazards,0.5041773350927541,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG30.PA31,31_disaster_risk_disasters_hazards,0.5098102550723852,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG31.PA10,76_fire_fires_burned_forest,0.9808212826571439,76,0,0.0,fire,fires,burned,forest,wildfires,forests,boreal,burning,regimes,haze
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG32.PA5,76_fire_fires_burned_forest,1.0,76,0,0.0,fire,fires,burned,forest,wildfires,forests,boreal,burning,regimes,haze
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG32.PA23,13_forest_forests_wood_timber,0.9775424378332365,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG33.PA5,2_gender_women_gbv_violence,1.0,2,0,0.0,gender,women,gbv,violence,womens,men,rights,and,equality,their
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG33.PA12,28_apparel_female_women_careers,1.0,28,0,0.0,apparel,female,women,careers,labor,jobs,occupations,education,industries,workers
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG33.PA23,2_gender_women_gbv_violence,0.8702251402963264,2,0,0.0,gender,women,gbv,violence,womens,men,rights,and,equality,their
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG33.PA34,2_gender_women_gbv_violence,0.6212238555402873,2,0,0.0,gender,women,gbv,violence,womens,men,rights,and,equality,their
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG41.PA7,3_water_groundwater_resources_irrigation,0.39316964676589994,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG41.PA24,3_water_groundwater_resources_irrigation,0.4197141112889883,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG42.PA15,13_forest_forests_wood_timber,1.0,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG42.PA18,13_forest_forests_wood_timber,1.0,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG42.PA21,13_forest_forests_wood_timber,0.9522423018237186,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG43.PA5,3_water_groundwater_resources_irrigation,0.7039501711226209,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG43.PA9,3_water_groundwater_resources_irrigation,0.49075037360235596,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG43.PA17,31_disaster_risk_disasters_hazards,0.741431351780109,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG43.PA19,31_disaster_risk_disasters_hazards,0.4835721507969763,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG46.PA11,31_disaster_risk_disasters_hazards,0.8592756179272217,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG47.PA11,31_disaster_risk_disasters_hazards,0.6013438813119674,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG48.PA42,3_water_groundwater_resources_irrigation,0.4398964455449614,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG49.PA22,31_disaster_risk_disasters_hazards,0.4432754515342999,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
4cbd45deea2f75967179137748ad083506e733f8db79bdcff5198c3a14d0b271.PG49.PA32,31_disaster_risk_disasters_hazards,0.5534748984299187,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
